Depth_m,Density_g_cm3,Vp_m_s,Vs_m_s,Bulk_Modulus_GPa,Shear_Modulus_GPa,Youngs_Modulus_GPa,Poissons_Ratio,Gamma_Ray_gAPI,Neutron_Porosity_pu
2556.9672,3.0413,4.263449869494792,1.9661357627065073,3.9606094663613435e-05,1.175672250246485e-05,3.209450944590212e-05,0.36494288434439814,53.9596,31.7485
2557.0434,2.999,4.290431830274572,2.253384512565132,3.490081134188443e-05,1.5228147542643727e-05,3.988367502016799e-05,0.3095379759252014,55.0025,30.4926
2557.1196,2.9404,4.290431830274572,2.253384512565132,3.421885484150616e-05,1.4930591875421678e-05,3.9104354127809925e-05,0.3095379759252013,56.3491,28.9807
2558.2626,-1.4444,4.68394871629378,2.3385064861331477,-2.1157415391543222e-05,-7.898864018766016e-06,-2.107401608888386e-05,0.33399030789848344,61.6188,25.8826
2558.3388,-1.4425,4.68394871629378,2.3385064861331477,-2.1129584396497574e-05,-7.888473654853212e-06,-2.1046294799373425e-05,0.3339903078984835,61.4191,25.4331
2558.415,-1.4413,4.669854465395122,2.4851911795281563,-1.9562246699174937e-05,-8.901721314036995e-06,-2.318796704054523e-05,0.30244287719839447,60.8793,24.9824
2558.4912,-1.4406,4.669854465395122,2.4851911795281563,-1.9552745850850907e-05,-8.897397991397833e-06,-2.3176705278990818e-05,0.30244287719839447,60.1204,24.5975
2558.5674,-1.4402,4.669854465395122,2.4851911795281563,-1.9547316794665744e-05,-8.89492752131831e-06,-2.3170269986674005e-05,0.3024428771983944,58.885,24.3758
2558.6436,-1.4401,4.668366760861075,2.614453087808054,-1.8260220710032114e-05,-9.843609062117491e-06,-2.503267327698308e-05,0.27151906983586643,57.3922,24.4161
2558.7198,-1.4399,4.665122849765597,2.6666293385219455,-1.7685075221580156e-05,-1.0239002230652117e-05,-2.5747967484183793e-05,0.2573474887574041,55.4561,24.7614
2558.796,-1.4391,4.665122849765597,2.6666293385219455,-1.7675249497448437e-05,-1.0233313501028867e-05,-2.5733662064371766e-05,0.2573474887574041,53.3487,25.3552
2558.8722,-1.4376,4.694004210435536,2.706549797230759,-1.7634262590845523e-05,-1.0531012010709667e-05,-2.6348093382532178e-05,0.250976323820403,51.0155,26.0827
2558.9484,4.5896,4.694004210435536,2.706549797230759,5.6298143841781173e-05,3.362071001972251e-05,8.411742444940852e-05,0.250976323820403,48.945,26.8288
2559.0246,4.1529,4.718237038779947,2.7189911900403567,5.151482786541567e-05,3.070202877776126e-05,7.68407856430225e-05,0.25139589633049664,47.3025,27.5338
2559.1008,3.9706,4.718237038779947,2.7189911900403567,4.9253479622051924e-05,2.9354300721177696e-05,7.346770292426623e-05,0.25139589633049664,46.5482,28.2312
2559.177,3.9047,4.733455810984785,2.7253560040987637,4.881727571373745e-05,2.9002414418541666e-05,7.262503109659262e-05,0.2520514680005808,46.488,29.0084
2559.2532,3.9177,4.733455810984785,2.7253560040987637,4.897980409857587e-05,2.909897276807967e-05,7.286682314316614e-05,0.2520514680005808,47.0731,29.9267
2559.3294,3.9831,4.7363538466558825,2.72215285852843,4.999942749944058e-05,2.9515233777248225e-05,7.398720384922108e-05,0.2533731632892233,47.7882,30.9715
